al,almond croissant
fral,frozen almond
bd,bacon date scone
bdrd,bacon date scone round
bdrd,bacon date round
bag,baguette
rbag,retail baguette
mbag,minibag
mbag,mini baguette
bcwal,blue cheese walnut
bcwal,gorgonzola walnut
bb,blueberry muffin
lgbz,large buns
lgbz,large brioche buns
bz,buns
bz,brioche buns
bri,brioche loaf
brsl,sliders
brsl,brioche sliders
brn,brownie
chip,chocolate chip cookie dough
chip,chocolate chip dough
ch,chocolate croissant
frch,frozen chocolate
frch,frozen chocolate croissant
zcock,cocktail sliders
lev,country
lev,country batard
rlev,retail country
rrye,retail rye 
rrye,retail rustic rye 
rye,country rye
rye, rye
lgry,large rye
dbag,demi baguette
dbag,demi bag
hok,doobie buns
dtbg,dutch burger buns
dtch,dutch stick
rdch,retail dutch
rdch,retail dutch stick
mdch,mini dutch
epi,epi
